af.mil,Unknown
navy.mil,Unknown
marines.mil,Unknown
pentagonchannel.mil,Unknown
ics.mil,Unknown
osd.mil,Office of the Secretary of Defense
dodig.mil,Unknown
army.mil,Unknown
dma.mil,Unknown
dodlive.mil,Unknown
dtic.mil,Unknown
dfas.mil,Unknown
uscg.mil,Unknown
tricare.mil,Unknown
dla.mil,Unknown
darpa.mil,Unknown
militaryonesource.mil,Unknown
disa.mil,Unknown
pentagon.mil,United States Department of Defense
dau.mil,Unknown
nga.mil,Unknown
mail.mil,email
web.mail.mil,Web mail
ng.mil,The National Guard
usuhs.mil,Uniformed Services University of the Health Sciences
dia.mil,Unknown
arlingtoncemetery.mil,Unknown
centcom.mil,Unknown
dss.mil,Unknown
move.mil,Defense Personal Property Program
capmed.mil,Defense Health Agency National Capital Region Medical Directorate
cac.mil,Unknown
nationalguard.mil,Unknown
jcs.mil,Unknown
defenseimagery.mil,Unknown
africom.mil,Unknown
dodiis.mil,Department Of Defense Intelligence Information System
eb.mil,Unknown
mda.mil,Unknown
southcom.mil,Unknown
dcma.mil,Unknown
dsca.mil,Unknown
health.mil,Unknown
soc.mil,Unknown
jsf.mil,Unknown
norad.mil,Unknown
dcaa.mil,Unknown
usmc.mil,Unknown
defenselink.mil,Unknown
stratcom.mil,Unknown
usfk.mil,Unknown
armymedicine.mil,Army Medicine
dtra.mil,Unknown
ourmilitary.mil,Unknown
dcoe.mil,Unknown
transcom.mil,Unknown
pacom.mil,Unknown
vaccines.mil,Unknown
afhsc.mil,Armed Forces Health Surveillance Center
defense.mil,United States Department of Defense
whs.mil,Unknown
esgr.mil,Unknown
pdhealth.mil,Unknown
cdn.mil,Content Delivery Network
dod.mil,United States Department of Defense
jten.mil,Joint Training and. Experimentation Network
safehelpline.mil,Sexual Assault Prevention and Response Office
